,predictions
673,"(496, 594)"
674,"(498, 594)"
675,"(500, 594)"
676,"(502, 595)"
677,"(505, 595)"
678,"(507, 595)"
679,"(509, 595)"
680,"(511, 595)"
681,"(512, 595)"
682,"(513, 595)"
683,"(515, 596)"
684,"(516, 596)"
685,"(518, 596)"
686,"(520, 596)"
687,"(522, 596)"
688,"(523, 596)"
689,"(525, 596)"
690,"(527, 596)"
691,"(528, 596)"
692,"(530, 597)"
693,"(531, 597)"
694,"(532, 596)"
695,"(533, 595)"
696,"(534, 595)"
697,"(534, 593)"
698,"(532, 587)"
699,"(530, 580)"
700,"(526, 575)"
701,"(523, 571)"
702,"(519, 567)"
703,"(517, 562)"
704,"(515, 559)"
705,"(514, 555)"
706,"(513, 551)"
707,"(512, 548)"
708,"(510, 544)"
709,"(508, 541)"
710,"(507, 537)"
711,"(507, 535)"
712,"(506, 533)"
713,"(504, 530)"
714,"(502, 527)"
715,"(501, 524)"
716,"(500, 522)"
717,"(499, 519)"
718,"(498, 516)"
719,"(497, 514)"
720,"(496, 512)"
721,"(495, 510)"
722,"(494, 508)"
723,"(493, 507)"
724,"(493, 505)"
725,"(492, 503)"
726,"(491, 501)"
727,"(489, 498)"
728,"(487, 496)"
729,"(486, 495)"
730,"(485, 493)"
731,"(480, 496)"
732,"(476, 499)"
733,"(471, 502)"
734,"(467, 505)"
735,"(464, 508)"
736,"(461, 509)"
737,"(458, 510)"
738,"(455, 511)"
739,"(452, 513)"
740,"(449, 514)"
741,"(447, 515)"
742,"(443, 517)"
743,"(440, 518)"
744,"(438, 519)"
745,"(435, 519)"
746,"(433, 520)"
747,"(431, 521)"
748,"(428, 522)"
749,"(426, 524)"
750,"(424, 525)"
751,"(422, 526)"
752,"(420, 527)"
753,"(419, 529)"
754,"(417, 529)"
755,"(416, 529)"
756,"(414, 530)"
757,"(412, 531)"
758,"(410, 532)"
759,"(408, 532)"
760,"(407, 533)"
761,"(406, 533)"
762,"(405, 534)"
763,"(403, 535)"
764,"(402, 535)"
765,"(400, 538)"
766,"(399, 539)"
767,"(397, 539)"
768,"(397, 541)"
769,"(398, 543)"
770,"(400, 547)"
771,"(402, 551)"
772,"(403, 553)"
773,"(405, 555)"
774,"(406, 557)"
775,"(406, 559)"
776,"(406, 559)"
777,"(406, 561)"
778,"(406, 562)"
779,"(407, 563)"
780,"(407, 564)"
781,"(407, 564)"
782,"(408, 565)"
783,"(408, 565)"
784,"(408, 567)"
785,"(408, 568)"
786,"(408, 568)"
787,"(409, 569)"
788,"(409, 570)"
789,"(409, 570)"
790,"(408, 571)"
791,"(408, 572)"
792,"(409, 573)"
793,"(409, 573)"
794,"(409, 574)"
795,"(409, 575)"
796,"(409, 576)"
797,"(410, 576)"
798,"(411, 576)"
799,"(418, 574)"
800,"(421, 573)"
801,"(423, 573)"
802,"(425, 574)"
803,"(427, 576)"
804,"(430, 578)"
805,"(433, 580)"
806,"(434, 581)"
807,"(436, 582)"
808,"(439, 583)"
809,"(440, 584)"
810,"(441, 585)"
811,"(443, 586)"
812,"(445, 587)"
813,"(446, 587)"
814,"(448, 587)"
815,"(450, 587)"
816,"(451, 588)"
817,"(452, 589)"
818,"(454, 590)"
819,"(455, 591)"
820,"(456, 592)"
